#nrNodes nrCollisions nrTransmissions OverallEnergy
12 63 70 15.820062720000003
12 65 73 16.498065408000002
12 65 72 16.272064512000004
12 61 69 15.594061824000002
12 61 70 15.820062720000003
12 61 70 15.820062720000003
12 61 67 15.142060032000003
